Game,MS_Store_Link,ProductID
Lichtspeer: Double Speer Edition,https://www.xbox.com/en-us/games/store/Lichtspeer-Double-Speer-Edition/9PB9C0582142,9PB9C0582142
Orwell: Keeping an Eye on You,https://www.xbox.com/en-us/games/store/Orwell-Keeping-an-Eye-On-You/9NHMGX85VBJ1,9NHMGX85VBJ1
Shenmue,https://www.xbox.com/en-us/games/store/Shenmue-I-II/BZZP5HFC3PGJ,BZZP5HFC3PGJ
Shenmue II,https://www.xbox.com/en-us/games/store/shenmue-ii/bp9lqqw7q0mz,bp9lqqw7q0mz
Thimbleweed Park,https://www.xbox.com/en-us/games/store/Thimbleweed-Park/9NBLGGH40DCM,9NBLGGH40DCM
Titan-Quest: Anniversary Edition,https://www.xbox.com/en-us/games/store/Titan-Quest-Anniversary-Edition/9NBLGGH43DHL,9NBLGGH43DHL
The Golf Club 2,Not Found,N/A
Operencia: The Stolen Sun,https://www.xbox.com/en-us/games/store/Operencia-The-Stolen-Sun/9PFKKZ5T89NL,9PFKKZ5T89NL
Deus Ex: Mankind Divided,Not Found,N/A
Star Wars Battlefront,https://www.xbox.com/en-us/games/store/STAR-WARS-Battlefront/BRXTM276DLPR,BRXTM276DLPR
TT Isle of Man,https://www.xbox.com/en-us/games/store/TT-Isle-of-Man/C1SHGH9P2NPR,C1SHGH9P2NPR
Fable Heroes,https://www.xbox.com/en-us/games/store/Fable-Heroes/BTR2D4ZQ2ZB7,BTR2D4ZQ2ZB7
Batman: The Telltale Series,https://www.xbox.com/en-us/games/store/Batman-The-Telltale-Series-The-Complete-Season-Episodes-1-5/BQ2ZZ6WTZZJZ,BQ2ZZ6WTZZJZ
Disney Epic Mickey 2: The Power of Two,https://www.xbox.com/en-us/games/store/Disney-Epic-Mickey-2-The-Power-of-Two/BSQ928V7VD2W,BSQ928V7VD2W
Just Cause 4,https://www.xbox.com/en-us/games/store/Just-Cause-4/BRT72KDT7G43,BRT72KDT7G43
Batman: Arkham City,https://www.xbox.com/en-us/games/store/Batman-Return-to-Arkham-Arkham-City/BTV379CSHGQ0,BTV379CSHGQ0
The Jackbox Party Pack 2,https://www.xbox.com/en-us/games/store/The-Jackbox-Party-Pack-2/BSWL46TWR3QC,BSWL46TWR3QC
Batman: Arkham Asylum,https://www.xbox.com/en-us/games/store/Batman-Return-to-Arkham-Arkham-Asylum/BSJ3TWD7R47V,BSJ3TWD7R47V
Pumped BMX Pro,https://www.xbox.com/en-us/games/store/Pumped-BMX-Pro/BVKZ930DVZL3,BVKZ930DVZL3
LEGO Star Wars II: The Original Trilogy,https://www.xbox.com/en-us/games/store/LEGO-Star-Wars-II/BXN9BZW89FHK,BXN9BZW89FHK
Styx: Shards of Darkness,https://www.xbox.com/en-us/games/store/Styx-Shards-of-Darkness/BTBWJ7WC1Q76,BTBWJ7WC1Q76
Tekken 6,https://www.xbox.com/en-us/games/store/TEKKEN-6/BWTRGX57577H,BWTRGX57577H
Jurassic World Evolution,https://www.xbox.com/en-us/games/store/Jurassic-World-Evolution/C1LD4244XCNJ,C1LD4244XCNJ
Tom Clancy's The Division,https://www.xbox.com/en-us/games/store/Tom-Clancys-The-Division/BRGPD72KHM3Q,BRGPD72KHM3Q
LEGO City Undercover,https://www.xbox.com/en-us/games/store/LEGO-CITY-Undercover/BS5RXLL3WQ2J,BS5RXLL3WQ2J
Resident Evil 4,https://www.xbox.com/en-us/games/store/resident-evil-4-gold-edition/9p2g4psmpbr7,9p2g4psmpbr7
Just Cause 3,https://www.xbox.com/en-us/games/store/Just-Cause-3/BR2F4DG4WXF8,BR2F4DG4WXF8
Middle-earth: Shadow of Mordor - Game of the Year Edition,https://www.xbox.com/en-us/games/store/Middle-earth-Shadow-of-Mordor-Game-of-the-Year-Edition/BPBKTSC16MWT,BPBKTSC16MWT
Saints Row: The Third,Not Found,N/A
Castlevania: Lords of Shadow - Mirror of Fate HD,Not Found,N/A
Insane Robots,https://www.xbox.com/en-us/games/store/Insane-Robots/C31QL60HVLT3,C31QL60HVLT3
Toy Story 3,https://www.xbox.com/en-us/games/store/Toy-Story-3/BWNQM65KQK6H,BWNQM65KQK6H
The Final Station,Not Found,N/A
Headlander,https://www.xbox.com/en-us/games/store/Headlander/BVGX58F7HZGH,BVGX58F7HZGH
Life is Strange,https://www.xbox.com/en-us/games/store/Life-Is-Strange/BP5HKF86C1NJ,BP5HKF86C1NJ
Life is Strange: Before the Storm,https://www.xbox.com/en-us/games/store/Life-is-Strange-Before-the-Storm-Complete-Season/BRB2J2GKCC3H,BRB2J2GKCC3H
Pro Evolution Soccer 2019,https://www.xbox.com/en-us/games/store/PRO-EVOLUTION-SOCCER-2019/C4VJ59K5Z2PN,C4VJ59K5Z2PN
Tecmo Bowl: Throwback,https://www.xbox.com/en-us/games/store/Tecmo-Bowl-Throwback/BNH6F3HFG75F,BNH6F3HFG75F
Joy Ride Turbo,https://www.xbox.com/en-us/games/store/Joy-Ride-Turbo/C1ZWH2BZ9TSF,C1ZWH2BZ9TSF
Sherlock Holmes: The Devil's Daughter,https://www.xbox.com/en-us/games/store/Sherlock-Holmes-The-Devils-Daughter/C3CDLWXMPL77,C3CDLWXMPL77
Robocraft Infinity,https://www.xbox.com/en-us/games/store/robocraft-infinity-deluxe-upgrade/9p3hvb7htmgw,9p3hvb7htmgw
Star Wars: Jedi Starfighter,https://www.xbox.com/en-us/games/store/star-wars-jedi-starfighter/c4hzpd19r8b8,c4hzpd19r8b8
Friday the 13th: The Game,Not Found,N/A
Pony Island,https://www.xbox.com/en-us/games/store/pony-island-daniel-mullins-games/9n3fvks982gz,9n3fvks982gz
Tyranny: Gold Edition,https://www.xbox.com/en-us/games/store/Tyranny-Gold-Edition/9NXJ8VXN1TR6,9NXJ8VXN1TR6
Football Manager 2019,Not Found,N/A
LEGO Batman 3: Beyond Gotham,https://www.xbox.com/en-us/games/store/LEGO-Batman-3-Beyond-Gotham/C0GMW8QH429T,C0GMW8QH429T
The Surge,https://www.xbox.com/en-us/games/store/The-Surge/BRKVPTHJW525,BRKVPTHJW525
Below,https://www.xbox.com/en-us/games/store/BELOW/C3TWVMK3BNNJ,C3TWVMK3BNNJ
Strange Brigade,https://www.xbox.com/en-us/games/store/Strange-Brigade/BNK358CGCZ9F,BNK358CGCZ9F
Agents of Mayhem,https://www.xbox.com/en-us/games/store/Agents-of-Mayhem/C07NM31J7HLP,C07NM31J7HLP
MXGP3,https://www.xbox.com/en-us/games/store/MXGP3/BTDHX5Z7GL0W,BTDHX5Z7GL0W
Thomas Was Alone,https://www.xbox.com/en-us/games/store/Thomas-Was-Alone/BQZSCK80F075,BQZSCK80F075
ABZÛ,https://www.xbox.com/en-us/games/store/ABZU/BQ2307M831ZG,BQ2307M831ZG
Darksiders II: Deathinitive Edition,https://www.xbox.com/en-us/games/store/Darksiders-II-Deathinitive-Edition/BSMX2D9V0C8B,BSMX2D9V0C8B
Darksiders: Warmastered Edition,Not Found,N/A
GRID 2,https://www.xbox.com/en-us/games/store/GRID-2/BRZNCW03RQ9N,BRZNCW03RQ9N
Ninja Gaiden 3: Razor's Edge,https://www.xbox.com/en-us/games/store/NINJA-GAIDEN-3-Razors-Edge/9N27DBP8GNNB,9N27DBP8GNNB
Tembo the Badass Elephant,https://www.xbox.com/en-us/games/store/TEMBO-THE-BADASS-ELEPHANT/C28VPJV3NZM9,C28VPJV3NZM9
Bolt,https://www.xbox.com/en-us/games/store/Disney-Bolt/C1G9PLTFMQM6,C1G9PLTFMQM6
We Were Here,https://www.xbox.com/en-us/games/store/We-Were-Here/9P695V9561VB,9P695V9561VB
Resident Evil 5,https://www.xbox.com/en-us/games/store/Resident-Evil-Triple-Pack/BTJN2TF71BR0,BTJN2TF71BR0
Dead Island: Riptide - Definitive Edition,Not Found,N/A
>observer_,https://www.xbox.com/en-us/games/store/observer/C121T6H3D233,C121T6H3D233
Tekken Tag Tournament 2,Not Found,N/A
Hitman: The Complete First Season,Not Found,N/A
Earth Defense Force 2025,https://www.xbox.com/en-us/games/store/Earth-Defense-Force-2025/C0SSJXG14R4T,C0SSJXG14R4T
Forza Motorsport 6,https://www.xbox.com/en-us/games/store/forza-motorsport-6-deluxe-edition/brss7tmd15r0,brss7tmd15r0
LEGO Batman 2: DC Super Heroes,https://www.xbox.com/en-us/games/store/LEGO-Batman-2/BVWMP1MBMNCP,BVWMP1MBMNCP
LEGO Indiana Jones: The Original Adventures,https://www.xbox.com/en-us/games/store/LEGO-Indiana-Jones-The-Original-Adventures/BPFXMQVLHFV4,BPFXMQVLHFV4
Split/Second,Not Found,N/A
Onrush,https://www.xbox.com/en-us/games/store/ONRUSH/BPT02H7D9BLJ,BPT02H7D9BLJ
Ninja Gaiden Black,https://www.xbox.com/en-us/games/store/Ninja-Gaiden-Black/C17KKS83S9GS,C17KKS83S9GS
Super Street Fighter IV: Arcade Edition,https://www.xbox.com/en-us/games/store/SUPER-STREETFIGHTER-IV-ARCADE-EDITION/BRRN3ZC632XS,BRRN3ZC632XS
'Splosion Man,https://www.xbox.com/en-us/games/store/Splosion-Man/C1JKCSRT3XCN,C1JKCSRT3XCN
The Maw,https://www.xbox.com/en-us/games/store/The-Maw/BPXNKHZ54LGX,BPXNKHZ54LGX
Castlevania: Lords of Shadow,https://www.xbox.com/en-us/games/store/Castlevania-Lords-of-Shadow/BRL99QVV2BF3,BRL99QVV2BF3
Gears of War 4,https://www.xbox.com/en-us/games/store/Gears-of-War-4/9NBLGGH4PBBM,9NBLGGH4PBBM
Torchlight,https://www.xbox.com/en-us/games/store/Torchlight/C5KDXM27B23F,C5KDXM27B23F
Big Crown: Showdown,Not Found,N/A
InnerSpace,https://www.xbox.com/en-us/games/store/InnerSpace/BRHJKPW34Z0P,BRHJKPW34Z0P
Manual Samuel,https://www.xbox.com/en-us/games/store/manual-samuel-last-tuesday-edition/c1n8nk80clxv,c1n8nk80clxv
Sky Force: Reloaded,https://www.xbox.com/en-us/games/store/Sky-Force-Reloaded/BXBM72LSWFJ0,BXBM72LSWFJ0
Graveyard Keeper,https://www.xbox.com/en-us/games/store/Graveyard-Keeper/C11GZGMKRTCV,C11GZGMKRTCV
Alien Hominid HD,Not Found,N/A
BattleBlock Theater,https://www.xbox.com/en-us/games/store/BattleBlock-Theater/BQ30J3N2LPZX,BQ30J3N2LPZX
Garou: Mark of the Wolves,https://www.xbox.com/en-us/games/store/ACA-NEOGEO-GAROU-MARK-OF-THE-WOLVES/BZK8NDMJ3F3S,BZK8NDMJ3F3S
A Kingdom for Keflings,https://www.xbox.com/en-us/games/store/A-Kingdom-for-Keflings/BQG7DH2SWF0V,BQG7DH2SWF0V
A World of Keflings,https://www.xbox.com/en-us/games/store/A-World-of-Keflings/C3FNJLM45CCC,C3FNJLM45CCC
CastleStorm,https://www.xbox.com/en-us/games/store/CastleStorm-Definitive-Edition/BP3M4THZP6GG,BP3M4THZP6GG
Joe Danger 2: The Movie,https://www.xbox.com/en-us/games/store/Joe-Danger-2-The-Movie/BVKX6B5FS9C1,BVKX6B5FS9C1
Joe Danger: Special Edition,https://www.xbox.com/en-us/games/store/Joe-Danger-Special-Edition/C0P10D72TK1L,C0P10D72TK1L
Monday Night Combat,https://www.xbox.com/en-us/games/store/Monday-Night-Combat/C2FP0XG65F9B,C2FP0XG65F9B
N+,Not Found,N/A
Spelunky,https://www.xbox.com/en-us/games/store/Spelunky/BS84XSHDJNCX,BS84XSHDJNCX
Toy Soldiers,https://www.xbox.com/en-us/games/store/Toy-Soldiers-HD/9N8ZGB1375XS,9N8ZGB1375XS
